"","time","COROP_LEV","COROP_AFN","AANTAL"
"1",2019-01-01,"CR01","CR01",122066
"2",2019-01-01,"CR01","CR02",1094
"3",2019-01-01,"CR01","CR03",5384
"4",2019-01-01,"CR01","CR04",722
"5",2019-01-01,"CR01","CR05",3693
"6",2019-01-01,"CR01","CR06",6432
"7",2019-01-01,"CR01","CR07",24
"8",2019-01-01,"CR01","CR08",57577
"9",2019-01-01,"CR01","CR09",9736
"10",2019-01-01,"CR01","CR10",35357
"11",2019-01-01,"CR01","CR11",9948
"12",2019-01-01,"CR01","CR12",5620
"13",2019-01-01,"CR01","CR13",25864
"14",2019-01-01,"CR01","CR14",96621
"15",2019-01-01,"CR01","CR15",1070
"16",2019-01-01,"CR01","CR17",16068
"17",2019-01-01,"CR01","CR18",12
"18",2019-01-01,"CR01","CR35",136677
"19",2019-01-01,"CR01","CR36",6740
"20",2019-01-01,"CR01","CR40",2624
"21",2019-01-01,"CR02","CR01",17822
"22",2019-01-01,"CR02","CR02",4
"23",2019-01-01,"CR02","CR03",1528
"24",2019-01-01,"CR02","CR04",6
"25",2019-01-01,"CR02","CR08",832
"26",2019-01-01,"CR02","CR09",4
"27",2019-01-01,"CR02","CR10",1403
"28",2019-01-01,"CR02","CR13",830
"29",2019-01-01,"CR02","CR14",15549
"30",2019-01-01,"CR02","CR35",1266
"31",2019-01-01,"CR03","CR01",1759
"32",2019-01-01,"CR03","CR02",14
"33",2019-01-01,"CR03","CR03",27378
"34",2019-01-01,"CR03","CR04",7035
"35",2019-01-01,"CR03","CR05",8
"36",2019-01-01,"CR03","CR06",23972
"37",2019-01-01,"CR03","CR07",40
"38",2019-01-01,"CR03","CR08",4888
"39",2019-01-01,"CR03","CR09",8
"40",2019-01-01,"CR03","CR10",9949
"41",2019-01-01,"CR03","CR12",1718
"42",2019-01-01,"CR03","CR13",5292
"43",2019-01-01,"CR03","CR14",21517
"44",2019-01-01,"CR03","CR16",1180
"45",2019-01-01,"CR03","CR17",5073
"46",2019-01-01,"CR03","CR18",2
"47",2019-01-01,"CR03","CR23",11
"48",2019-01-01,"CR03","CR30",428
"49",2019-01-01,"CR03","CR33",2
"50",2019-01-01,"CR03","CR35",12196
"51",2019-01-01,"CR03","CR36",61920
"52",2019-01-01,"CR04","CR01",10
"53",2019-01-01,"CR04","CR03",1562
"54",2019-01-01,"CR04","CR04",36295
"55",2019-01-01,"CR04","CR05",1540
"56",2019-01-01,"CR04","CR06",720
"57",2019-01-01,"CR04","CR07",4
"58",2019-01-01,"CR04","CR08",4
"59",2019-01-01,"CR04","CR09",16
"60",2019-01-01,"CR04","CR10",25340
"61",2019-01-01,"CR04","CR12",14
"62",2019-01-01,"CR04","CR13",8718
"63",2019-01-01,"CR04","CR14",1514
"64",2019-01-01,"CR04","CR16",8
"65",2019-01-01,"CR04","CR17",8378
"66",2019-01-01,"CR04","CR18",4
"67",2019-01-01,"CR04","CR20",6
"68",2019-01-01,"CR04","CR35",35091
"69",2019-01-01,"CR04","CR36",8402
"70",2019-01-01,"CR05","CR03",2
"71",2019-01-01,"CR05","CR04",8594
"72",2019-01-01,"CR05","CR05",5462
"73",2019-01-01,"CR05","CR06",62
"74",2019-01-01,"CR05","CR07",2
"75",2019-01-01,"CR05","CR09",4129
"76",2019-01-01,"CR05","CR10",24
"77",2019-01-01,"CR05","CR12",50
"78",2019-01-01,"CR05","CR13",29942
"79",2019-01-01,"CR05","CR14",9982
"80",2019-01-01,"CR05","CR15",302
"81",2019-01-01,"CR05","CR17",37099
"82",2019-01-01,"CR05","CR18",8
"83",2019-01-01,"CR05","CR26",6
"84",2019-01-01,"CR05","CR28",4706
"85",2019-01-01,"CR05","CR35",2264
"86",2019-01-01,"CR05","CR36",37506
"87",2019-01-01,"CR05","CR40",4175
"88",2019-01-01,"CR06","CR01",42146
"89",2019-01-01,"CR06","CR03",33396
"90",2019-01-01,"CR06","CR04",34
"91",2019-01-01,"CR06","CR05",14232
"92",2019-01-01,"CR06","CR06",13779
"93",2019-01-01,"CR06","CR07",51246
"94",2019-01-01,"CR06","CR08",6
"95",2019-01-01,"CR06","CR09",892
"96",2019-01-01,"CR06","CR10",18705
"97",2019-01-01,"CR06","CR11",9928
"98",2019-01-01,"CR06","CR12",11086
"99",2019-01-01,"CR06","CR13",27889
"100",2019-01-01,"CR06","CR14",13985
"101",2019-01-01,"CR06","CR15",1660
"102",2019-01-01,"CR06","CR17",38195
"103",2019-01-01,"CR06","CR18",4
"104",2019-01-01,"CR06","CR27",6
"105",2019-01-01,"CR06","CR33",15357
"106",2019-01-01,"CR06","CR35",1430
"107",2019-01-01,"CR06","CR36",66321
"108",2019-01-01,"CR06","CR37",1360
"109",2019-01-01,"CR06","CR38",3526
"110",2019-01-01,"CR07","CR01",9688
"111",2019-01-01,"CR07","CR02",8
"112",2019-01-01,"CR07","CR03",464
"113",2019-01-01,"CR07","CR05",3152
"114",2019-01-01,"CR07","CR06",29746
"115",2019-01-01,"CR07","CR07",40396
"116",2019-01-01,"CR07","CR08",4636
"117",2019-01-01,"CR07","CR09",9304
"118",2019-01-01,"CR07","CR10",13192
"119",2019-01-01,"CR07","CR11",327
"120",2019-01-01,"CR07","CR12",7332
"121",2019-01-01,"CR07","CR13",32995
"122",2019-01-01,"CR07","CR14",43469
"123",2019-01-01,"CR07","CR15",21190
"124",2019-01-01,"CR07","CR16",21831
"125",2019-01-01,"CR07","CR17",36897
"126",2019-01-01,"CR07","CR18",4
"127",2019-01-01,"CR07","CR33",4
"128",2019-01-01,"CR07","CR35",35131
"129",2019-01-01,"CR07","CR36",27358
"130",2019-01-01,"CR07","CR37",138
"131",2019-01-01,"CR07","CR38",1548
"132",2019-01-01,"CR07","CR40",5202
"133",2019-01-01,"CR08","CR01",122541
"134",2019-01-01,"CR08","CR03",606
"135",2019-01-01,"CR08","CR05",2
"136",2019-01-01,"CR08","CR06",6
"137",2019-01-01,"CR08","CR07",24761
"138",2019-01-01,"CR08","CR08",52642
"139",2019-01-01,"CR08","CR09",17182
"140",2019-01-01,"CR08","CR10",37267
"141",2019-01-01,"CR08","CR11",13985
"142",2019-01-01,"CR08","CR12",32166
"143",2019-01-01,"CR08","CR13",153060
"144",2019-01-01,"CR08","CR14",126960
"145",2019-01-01,"CR08","CR15",3523
"146",2019-01-01,"CR08","CR16",29256
"147",2019-01-01,"CR08","CR17",17034
"148",2019-01-01,"CR08","CR20",22
"149",2019-01-01,"CR08","CR33",20
"150",2019-01-01,"CR08","CR35",101968
"151",2019-01-01,"CR08","CR36",4722
"152",2019-01-01,"CR08","CR38",108
"153",2019-01-01,"CR08","CR40",2616
"154",2019-01-01,"CR09","CR01",11790
"155",2019-01-01,"CR09","CR03",56
"156",2019-01-01,"CR09","CR04",2745
"157",2019-01-01,"CR09","CR05",2688
"158",2019-01-01,"CR09","CR06",28
"159",2019-01-01,"CR09","CR07",6232
"160",2019-01-01,"CR09","CR08",11682
"161",2019-01-01,"CR09","CR09",32693
"162",2019-01-01,"CR09","CR10",19726
"163",2019-01-01,"CR09","CR11",6288
"164",2019-01-01,"CR09","CR12",38056
"165",2019-01-01,"CR09","CR13",71437
"166",2019-01-01,"CR09","CR14",95695
"167",2019-01-01,"CR09","CR15",2064
"168",2019-01-01,"CR09","CR16",2584
"169",2019-01-01,"CR09","CR17",28879
"170",2019-01-01,"CR09","CR25",480
"171",2019-01-01,"CR09","CR33",848
"172",2019-01-01,"CR09","CR35",49899
"173",2019-01-01,"CR09","CR36",11880
"174",2019-01-01,"CR09","CR37",1944
"175",2019-01-01,"CR09","CR38",840
"176",2019-01-01,"CR09","CR40",1188
"177",2019-01-01,"CR10","CR01",187164
"178",2019-01-01,"CR10","CR02",394
"179",2019-01-01,"CR10","CR03",376
"180",2019-01-01,"CR10","CR04",2258
"181",2019-01-01,"CR10","CR05",88
"182",2019-01-01,"CR10","CR06",2058
"183",2019-01-01,"CR10","CR07",27196
"184",2019-01-01,"CR10","CR08",47745
"185",2019-01-01,"CR10","CR09",82119
"186",2019-01-01,"CR10","CR10",544022
"187",2019-01-01,"CR10","CR11",59056
"188",2019-01-01,"CR10","CR12",158574
"189",2019-01-01,"CR10","CR13",334895
"190",2019-01-01,"CR10","CR14",288433
"191",2019-01-01,"CR10","CR15",45772
"192",2019-01-01,"CR10","CR16",8686
"193",2019-01-01,"CR10","CR17",166575
"194",2019-01-01,"CR10","CR18",138
"195",2019-01-01,"CR10","CR21",6
"196",2019-01-01,"CR10","CR23",120
"197",2019-01-01,"CR10","CR27",4
"198",2019-01-01,"CR10","CR28",14
"199",2019-01-01,"CR10","CR29",4
"200",2019-01-01,"CR10","CR30",774
"201",2019-01-01,"CR10","CR33",8
"202",2019-01-01,"CR10","CR34",2
"203",2019-01-01,"CR10","CR35",332199
"204",2019-01-01,"CR10","CR36",47025
"205",2019-01-01,"CR10","CR37",2390
"206",2019-01-01,"CR10","CR38",10766
"207",2019-01-01,"CR10","CR40",3716
"208",2019-01-01,"CR11","CR03",4
"209",2019-01-01,"CR11","CR06",1408
"210",2019-01-01,"CR11","CR09",4984
"211",2019-01-01,"CR11","CR10",121523
"212",2019-01-01,"CR11","CR11",356684
"213",2019-01-01,"CR11","CR12",144954
"214",2019-01-01,"CR11","CR13",268411
"215",2019-01-01,"CR11","CR14",235209
"216",2019-01-01,"CR11","CR15",26652
"217",2019-01-01,"CR11","CR16",2876
"218",2019-01-01,"CR11","CR17",60069
"219",2019-01-01,"CR11","CR28",4
"220",2019-01-01,"CR11","CR33",248
"221",2019-01-01,"CR11","CR35",92065
"222",2019-01-01,"CR11","CR36",147122
"223",2019-01-01,"CR11","CR37",50
"224",2019-01-01,"CR11","CR38",1314
"225",2019-01-01,"CR11","CR40",23953
"226",2019-01-01,"CR12","CR01",21866
"227",2019-01-01,"CR12","CR04",3502
"228",2019-01-01,"CR12","CR06",3867
"229",2019-01-01,"CR12","CR07",10360
"230",2019-01-01,"CR12","CR08",182256
"231",2019-01-01,"CR12","CR09",12818
"232",2019-01-01,"CR12","CR10",194085
"233",2019-01-01,"CR12","CR11",166747
"234",2019-01-01,"CR12","CR12",1153272
"235",2019-01-01,"CR12","CR13",436956
"236",2019-01-01,"CR12","CR14",718232
"237",2019-01-01,"CR12","CR15",25612
"238",2019-01-01,"CR12","CR16",8872
"239",2019-01-01,"CR12","CR17",532191
"240",2019-01-01,"CR12","CR18",6720
"241",2019-01-01,"CR12","CR23",4
"242",2019-01-01,"CR12","CR28",2530
"243",2019-01-01,"CR12","CR32",1412
"244",2019-01-01,"CR12","CR33",5542
"245",2019-01-01,"CR12","CR34",8564
"246",2019-01-01,"CR12","CR35",370167
"247",2019-01-01,"CR12","CR36",113727
"248",2019-01-01,"CR12","CR37",160
"249",2019-01-01,"CR12","CR38",25840
"250",2019-01-01,"CR12","CR39",8
"251",2019-01-01,"CR12","CR40",4496
"252",2019-01-01,"CR13","CR01",31194
"253",2019-01-01,"CR13","CR03",14
"254",2019-01-01,"CR13","CR04",2180
"255",2019-01-01,"CR13","CR05",26164
"256",2019-01-01,"CR13","CR06",524
"257",2019-01-01,"CR13","CR07",1104
"258",2019-01-01,"CR13","CR08",24737
"259",2019-01-01,"CR13","CR09",620
"260",2019-01-01,"CR13","CR10",42996
"261",2019-01-01,"CR13","CR11",16829
"262",2019-01-01,"CR13","CR12",97292
"263",2019-01-01,"CR13","CR13",971478
"264",2019-01-01,"CR13","CR14",324779
"265",2019-01-01,"CR13","CR15",50221
"266",2019-01-01,"CR13","CR16",74701
"267",2019-01-01,"CR13","CR17",765498
"268",2019-01-01,"CR13","CR18",2794
"269",2019-01-01,"CR13","CR23",13076
"270",2019-01-01,"CR13","CR25",27262
"271",2019-01-01,"CR13","CR28",6916
"272",2019-01-01,"CR13","CR29",18
"273",2019-01-01,"CR13","CR30",6083
"274",2019-01-01,"CR13","CR32",12
"275",2019-01-01,"CR13","CR33",28136
"276",2019-01-01,"CR13","CR34",10
"277",2019-01-01,"CR13","CR35",275013
"278",2019-01-01,"CR13","CR36",111338
"279",2019-01-01,"CR13","CR37",2585
"280",2019-01-01,"CR13","CR38",10698
"281",2019-01-01,"CR13","CR39",600
"282",2019-01-01,"CR13","CR40",22166
"283",2019-01-01,"CR14","CR01",45365
"284",2019-01-01,"CR14","CR02",8
"285",2019-01-01,"CR14","CR04",4
"286",2019-01-01,"CR14","CR05",4
"287",2019-01-01,"CR14","CR07",6
"288",2019-01-01,"CR14","CR08",15318
"289",2019-01-01,"CR14","CR09",17382
"290",2019-01-01,"CR14","CR10",92919
"291",2019-01-01,"CR14","CR11",101639
"292",2019-01-01,"CR14","CR12",428807
"293",2019-01-01,"CR14","CR13",626362
"294",2019-01-01,"CR14","CR14",2251469
"295",2019-01-01,"CR14","CR15",102491
"296",2019-01-01,"CR14","CR16",2468
"297",2019-01-01,"CR14","CR17",224186
"298",2019-01-01,"CR14","CR19",8
"299",2019-01-01,"CR14","CR23",12
"300",2019-01-01,"CR14","CR28",7500
"301",2019-01-01,"CR14","CR29",2
"302",2019-01-01,"CR14","CR30",720
"303",2019-01-01,"CR14","CR32",2752
"304",2019-01-01,"CR14","CR33",1400
"305",2019-01-01,"CR14","CR34",9847
"306",2019-01-01,"CR14","CR35",857545
"307",2019-01-01,"CR14","CR36",54222
"308",2019-01-01,"CR14","CR37",26255
"309",2019-01-01,"CR14","CR38",17596
"310",2019-01-01,"CR14","CR39",208
"311",2019-01-01,"CR14","CR40",54188
"312",2019-01-01,"CR15","CR01",21189
"313",2019-01-01,"CR15","CR05",2
"314",2019-01-01,"CR15","CR06",1286
"315",2019-01-01,"CR15","CR08",8
"316",2019-01-01,"CR15","CR10",47564
"317",2019-01-01,"CR15","CR11",2902
"318",2019-01-01,"CR15","CR12",34334
"319",2019-01-01,"CR15","CR13",60895
"320",2019-01-01,"CR15","CR14",222850
"321",2019-01-01,"CR15","CR15",210720
"322",2019-01-01,"CR15","CR16",88347
"323",2019-01-01,"CR15","CR17",85952
"324",2019-01-01,"CR15","CR18",4
"325",2019-01-01,"CR15","CR20",14
"326",2019-01-01,"CR15","CR24",8
"327",2019-01-01,"CR15","CR29",6
"328",2019-01-01,"CR15","CR33",16430
"329",2019-01-01,"CR15","CR34",30225
"330",2019-01-01,"CR15","CR35",178026
"331",2019-01-01,"CR15","CR36",135680
"332",2019-01-01,"CR15","CR37",11982
"333",2019-01-01,"CR15","CR38",16085
"334",2019-01-01,"CR15","CR39",762
"335",2019-01-01,"CR15","CR40",13461
"336",2019-01-01,"CR16","CR06",8
"337",2019-01-01,"CR16","CR09",518
"338",2019-01-01,"CR16","CR10",12554
"339",2019-01-01,"CR16","CR11",3168
"340",2019-01-01,"CR16","CR12",878
"341",2019-01-01,"CR16","CR13",104813
"342",2019-01-01,"CR16","CR14",105357
"343",2019-01-01,"CR16","CR15",65713
"344",2019-01-01,"CR16","CR16",7168
"345",2019-01-01,"CR16","CR17",181906
"346",2019-01-01,"CR16","CR18",2
"347",2019-01-01,"CR16","CR23",1156
"348",2019-01-01,"CR16","CR28",19930
"349",2019-01-01,"CR16","CR30",8398
"350",2019-01-01,"CR16","CR33",1440
"351",2019-01-01,"CR16","CR34",442
"352",2019-01-01,"CR16","CR35",294475
"353",2019-01-01,"CR16","CR36",32608
"354",2019-01-01,"CR16","CR37",44
"355",2019-01-01,"CR16","CR38",3564
"356",2019-01-01,"CR16","CR39",1746
"357",2019-01-01,"CR16","CR40",3678
"358",2019-01-01,"CR16",NA,2
"359",2019-01-01,"CR17","CR01",94180
"360",2019-01-01,"CR17","CR03",2
"361",2019-01-01,"CR17","CR07",284
"362",2019-01-01,"CR17","CR08",446
"363",2019-01-01,"CR17","CR09",1382
"364",2019-01-01,"CR17","CR10",6587
"365",2019-01-01,"CR17","CR11",12820
"366",2019-01-01,"CR17","CR12",24287
"367",2019-01-01,"CR17","CR13",259172
"368",2019-01-01,"CR17","CR14",162935
"369",2019-01-01,"CR17","CR15",20102
"370",2019-01-01,"CR17","CR16",35158
"371",2019-01-01,"CR17","CR17",465478
"372",2019-01-01,"CR17","CR18",2788
"373",2019-01-01,"CR17","CR20",10
"374",2019-01-01,"CR17","CR23",2
"375",2019-01-01,"CR17","CR25",944
"376",2019-01-01,"CR17","CR26",4
"377",2019-01-01,"CR17","CR28",26368
"378",2019-01-01,"CR17","CR29",412
"379",2019-01-01,"CR17","CR30",10048
"380",2019-01-01,"CR17","CR32",128
"381",2019-01-01,"CR17","CR33",3214
"382",2019-01-01,"CR17","CR34",7536
"383",2019-01-01,"CR17","CR35",101385
"384",2019-01-01,"CR17","CR36",51574
"385",2019-01-01,"CR17","CR37",356
"386",2019-01-01,"CR17","CR38",5268
"387",2019-01-01,"CR17","CR39",420
"388",2019-01-01,"CR17","CR40",27837
"389",2019-01-01,"CR18","CR04",6
"390",2019-01-01,"CR18","CR05",10678
"391",2019-01-01,"CR18","CR10",1920
"392",2019-01-01,"CR18","CR11",1270
"393",2019-01-01,"CR18","CR13",54339
"394",2019-01-01,"CR18","CR14",9974
"395",2019-01-01,"CR18","CR17",19457
"396",2019-01-01,"CR18","CR18",8034
"397",2019-01-01,"CR18","CR19",136
"398",2019-01-01,"CR18","CR23",338
"399",2019-01-01,"CR18","CR28",560
"400",2019-01-01,"CR18","CR36",168
"401",2019-01-01,"CR18","CR37",440
"402",2019-01-01,"CR19","CR13",17284
"403",2019-01-01,"CR19","CR17",1050
"404",2019-01-01,"CR19","CR18",16
"405",2019-01-01,"CR19","CR19",62
"406",2019-01-01,"CR19","CR20",10
"407",2019-01-01,"CR20","CR13",16
"408",2019-01-01,"CR20","CR18",8
"409",2019-01-01,"CR20","CR19",30
"410",2019-01-01,"CR23","CR10",2264
"411",2019-01-01,"CR23","CR13",6608
"412",2019-01-01,"CR23","CR14",8
"413",2019-01-01,"CR23","CR15",660
"414",2019-01-01,"CR23","CR17",11573
"415",2019-01-01,"CR23","CR18",814
"416",2019-01-01,"CR23","CR19",848
"417",2019-01-01,"CR23","CR20",28
"418",2019-01-01,"CR23","CR23",8
"419",2019-01-01,"CR23","CR28",1520
"420",2019-01-01,"CR23","CR36",2356
"421",2019-01-01,"CR24","CR15",20
"422",2019-01-01,"CR24","CR16",2
"423",2019-01-01,"CR24","CR17",4
"424",2019-01-01,"CR24","CR24",4
"425",2019-01-01,"CR25","CR12",2
"426",2019-01-01,"CR25","CR13",22820
"427",2019-01-01,"CR25","CR14",150
"428",2019-01-01,"CR25","CR17",26967
"429",2019-01-01,"CR25","CR25",714
"430",2019-01-01,"CR25","CR27",2
"431",2019-01-01,"CR25","CR28",4036
"432",2019-01-01,"CR25","CR30",1872
"433",2019-01-01,"CR25","CR35",14690
"434",2019-01-01,"CR25","CR36",816
"435",2019-01-01,"CR26","CR16",18
"436",2019-01-01,"CR26","CR17",26
"437",2019-01-01,"CR26","CR25",4
"438",2019-01-01,"CR26","CR26",8
"439",2019-01-01,"CR26","CR28",2
"440",2019-01-01,"CR26","CR29",4
"441",2019-01-01,"CR26","CR30",8
"442",2019-01-01,"CR26","CR33",14
"443",2019-01-01,"CR27","CR23",4
"444",2019-01-01,"CR27","CR25",4
"445",2019-01-01,"CR27","CR32",12
"446",2019-01-01,"CR27","CR33",2
"447",2019-01-01,"CR28","CR09",816
"448",2019-01-01,"CR28","CR10",600
"449",2019-01-01,"CR28","CR11",628
"450",2019-01-01,"CR28","CR12",3804
"451",2019-01-01,"CR28","CR13",22978
"452",2019-01-01,"CR28","CR14",12973
"453",2019-01-01,"CR28","CR15",5750
"454",2019-01-01,"CR28","CR16",2364
"455",2019-01-01,"CR28","CR17",66536
"456",2019-01-01,"CR28","CR18",292
"457",2019-01-01,"CR28","CR20",2
"458",2019-01-01,"CR28","CR23",32
"459",2019-01-01,"CR28","CR25",14718
"460",2019-01-01,"CR28","CR26",4
"461",2019-01-01,"CR28","CR28",8502
"462",2019-01-01,"CR28","CR29",724
"463",2019-01-01,"CR28","CR30",3110
"464",2019-01-01,"CR28","CR33",38476
"465",2019-01-01,"CR28","CR34",432
"466",2019-01-01,"CR28","CR35",26940
"467",2019-01-01,"CR28","CR36",5878
"468",2019-01-01,"CR28","CR37",432
"469",2019-01-01,"CR28","CR38",1040
"470",2019-01-01,"CR28","CR39",562
"471",2019-01-01,"CR29","CR04",4
"472",2019-01-01,"CR29","CR09",4
"473",2019-01-01,"CR29","CR10",2
"474",2019-01-01,"CR29","CR13",90
"475",2019-01-01,"CR29","CR14",362
"476",2019-01-01,"CR29","CR15",386
"477",2019-01-01,"CR29","CR16",4
"478",2019-01-01,"CR29","CR17",1450
"479",2019-01-01,"CR29","CR20",2
"480",2019-01-01,"CR29","CR26",2
"481",2019-01-01,"CR29","CR27",4
"482",2019-01-01,"CR29","CR28",1714
"483",2019-01-01,"CR29","CR29",185
"484",2019-01-01,"CR29","CR30",4
"485",2019-01-01,"CR29","CR31",4
"486",2019-01-01,"CR29","CR32",90
"487",2019-01-01,"CR29","CR33",560
"488",2019-01-01,"CR29","CR34",2
"489",2019-01-01,"CR29","CR35",32215
"490",2019-01-01,"CR29","CR36",76731
"491",2019-01-01,"CR30","CR05",2
"492",2019-01-01,"CR30","CR10",144
"493",2019-01-01,"CR30","CR11",80524
"494",2019-01-01,"CR30","CR13",2502
"495",2019-01-01,"CR30","CR14",8226
"496",2019-01-01,"CR30","CR15",2068
"497",2019-01-01,"CR30","CR16",842
"498",2019-01-01,"CR30","CR17",35852
"499",2019-01-01,"CR30","CR25",515
"500",2019-01-01,"CR30","CR28",2682
"501",2019-01-01,"CR30","CR29",356
"502",2019-01-01,"CR30","CR30",3368
"503",2019-01-01,"CR30","CR32",7879
"504",2019-01-01,"CR30","CR33",8715
"505",2019-01-01,"CR30","CR34",646
"506",2019-01-01,"CR30","CR35",17547
"507",2019-01-01,"CR30","CR36",1065
"508",2019-01-01,"CR30","CR37",140
"509",2019-01-01,"CR31","CR07",4
"510",2019-01-01,"CR31","CR13",326
"511",2019-01-01,"CR31","CR16",180
"512",2019-01-01,"CR31","CR17",21849
"513",2019-01-01,"CR31","CR29",2
"514",2019-01-01,"CR31","CR30",216
"515",2019-01-01,"CR31","CR31",1122
"516",2019-01-01,"CR31","CR32",682
"517",2019-01-01,"CR31","CR33",20
"518",2019-01-01,"CR31","CR34",358
"519",2019-01-01,"CR31","CR35",42054
"520",2019-01-01,"CR31","CR36",56354
"521",2019-01-01,"CR31","CR38",34
"522",2019-01-01,"CR31","CR39",6
"523",2019-01-01,"CR32","CR03",2
"524",2019-01-01,"CR32","CR08",3
"525",2019-01-01,"CR32","CR12",39024
"526",2019-01-01,"CR32","CR13",134
"527",2019-01-01,"CR32","CR14",39226
"528",2019-01-01,"CR32","CR15",400
"529",2019-01-01,"CR32","CR17",16702
"530",2019-01-01,"CR32","CR29",20
"531",2019-01-01,"CR32","CR31",20
"532",2019-01-01,"CR32","CR32",15457
"533",2019-01-01,"CR32","CR33",41050
"534",2019-01-01,"CR32","CR34",12432
"535",2019-01-01,"CR32","CR35",165710
"536",2019-01-01,"CR32","CR36",73120
"537",2019-01-01,"CR32","CR38",330
"538",2019-01-01,"CR32","CR39",4
"539",2019-01-01,"CR33","CR03",2
"540",2019-01-01,"CR33","CR09",1724
"541",2019-01-01,"CR33","CR12",4734
"542",2019-01-01,"CR33","CR13",85572
"543",2019-01-01,"CR33","CR14",110260
"544",2019-01-01,"CR33","CR15",8105
"545",2019-01-01,"CR33","CR16",13404
"546",2019-01-01,"CR33","CR17",322451
"547",2019-01-01,"CR33","CR20",42
"548",2019-01-01,"CR33","CR26",2
"549",2019-01-01,"CR33","CR28",500
"550",2019-01-01,"CR33","CR29",748
"551",2019-01-01,"CR33","CR30",432
